> SELECT n.name agency, c.name camera FROM network n INNER JOIN camera c ON n.network_id = c.network_id ORDER BY n.name, c.name LIMIT 2000;
+----------------------------------+---------------------------------------------------------------------------------------------------------+
| agency                           | camera                                                                                                  |
| Campbell CA PD                   | #07 WB E Hamilton Ave @ SB 17 Off ramp                                                                  |
| Campbell CA PD                   | #08 EB E Hamilton Ave @ Almarida Dr                                                                     |
| Campbell CA PD                   | #09 WB Camden Ave (Lanes 3&4) @ NB Hwy 17 On Ramp                                                       |
| Campbell CA PD                   | #10 WB Camden Ave (Lanes 1&2)  @ Erin Wy                                                                |
| Campbell CA PD                   | #11 NB San Tomas Expy @ Hwy 17 Off Ramp                                                                 |
| Campbell CA PD                   | #12 SB San Tomas Expy @ Hwy 17                                                                          |
| Campbell CA PD                   | #13 NB White Oaks Rd @ Camden Ave                                                                       |
| Campbell CA PD                   | #14 SB Curtner Ave @ Camden Ave                                                                         |
| Campbell CA PD                   | #15 WB W Campbell Ave @ San Tomas Expy                                                                  |
| Campbell CA PD                   | #16 EB Campbell Ave @ San Tomas Expy                                                                    |
| Campbell CA PD                   | #17 NB S Bascom Av @ Fewtrell Dr                                                                        |
| Campbell CA PD                   | #18 SB Winchester Blvd @ W Hamilton Ave                                                                 |
| Campbell CA PD                   | #19 EB E Campbell Ave @ N 1st St                                                                        |
| Campbell CA PD                   | #20 SB Creekside Wy @ Hwy 17 off ramp                                                                   |
| Campbell CA PD                   | #21 EB W Hamilton Av @ Beck Dr                                                                          |
| City of Fremont                  | #01 - Tupelo St                                                                                         |
| City of Fremont                  | #02 - Shinn St                                                                                          |
| City of Fremont                  | #03 – Prune Ave                                                                                         |
| City of Fremont                  | #04 - Morrison Canyon                                                                                   |
| City of Fremont                  | #05 - Stevenson Blvd                                                                                    |
| City of Millbrae CA              | 01: Millbrae Ave WB @ Rollins                                                                           |
| City of Millbrae CA              | 02: Millbrae Ave EB @ Rollins                                                                           |
| City of Millbrae CA              | 03: El Camino Real NB @ San Benito                                                                      |
| City of Millbrae CA              | 04: Hillcrest Blvd WB @ El Camino                                                                       |
| City of Millbrae CA              | 05: Skyline Blvd @ Larkspur Dr                                                                          |
| City of Millbrae CA              | 06: Larkspur Dr EB @ Skyline                                                                            |
| City of Millbrae CA              | 07: Hillcrest EB @ Skyline                                                                              |
| City of Millbrae CA              | 08: Millbrae Ave EB @ Skyline                                                                           |
| City of Millbrae CA              | 09: Millbrae Ave EB@ El Camino                                                                          |
| City of Millbrae CA              | 10: Rollins Rd SB near Adrian                                                                           |
| City of Millbrae CA              | 11: El Camino NB @ Millbrae (right lane)                                                                |
| City of Millbrae CA              | 12: El Camino NB @ Millbrae (left/center lane)                                                          |
| City of Millbrae CA              | 13: El Camino SB @ Park Pl                                                                              |
| City of Millbrae CA              | 14: El Camino SB @ Park Pl                                                                              |
| City of Millbrae CA              | 15: Millbrae Ave EB @ HWY 101                                                                           |
| City of Millbrae CA              | 16: Richmond Dr WB @ Magnolia                                                                           |
| City of Millbrae CA              | 17: Millbrae Ave WB @ El Camino                                                                         |
| City of Millbrae CA              | 18: Broadway NB @ Millbrae Ave                                                                          |
| City of Millbrae CA              | 19: Broadway SB @ Silva Ave                                                                             |
