> SELECT n.name agency, c.name camera FROM network n INNER JOIN camera c ON n.network_id = c.network_id ORDER BY n.name, c.name LIMIT 2000;
+----------------------------------+---------------------------------------------------------------------------------------------------------+
| agency                           | camera                                                                                                  |
| Orinda CA PD                     | 02: Camino Sobrante NB @ Camino Pablo                                                                   |
| Orinda CA PD                     | 03: Santa Maria Way NB @ Camino Pablo                                                                   |
| Orinda CA PD                     | 04: Brookwood NB @ Camino Pablo                                                                         |
| Orinda CA PD                     | 05: Moraga Way WB @ Northwood Dr                                                                        |
| Orinda CA PD                     | 06: Moraga Way EB @ Camino Encinas                                                                      |
| Piedmont CA PD                   | #04 Blair Ave EB at Harbord Dr                                                                          |
| Piedmont CA PD                   | #05 Blair Ave WB at Blair Pl                                                                            |
| Piedmont CA PD                   | #1 SB Linda at Kingston                                                                                 |
| Piedmont CA PD                   | #2 NB Linda at Kingston                                                                                 |
| Piedmont CA PD                   | #3 EB Kingston at Monte Cresta                                                                          |
| Piedmont CA PD                   | 01: Oakland @ Olive - Inbound                                                                           |
| Piedmont CA PD                   | 02: Grand @ Wildwood - Inbound                                                                          |
| Piedmont CA PD                   | 03: Wildwood @ Grand - Inbound                                                                          |
| Piedmont CA PD                   | 04: Sylvan - Inbound                                                                                    |
| Piedmont CA PD                   | 05: Boulevard @ Crofton - Inbound                                                                       |
| Piedmont CA PD                   | 06: Ronada Ave SB - Outbound                                                                            |
| Piedmont CA PD                   | 07: Boulevard @ Warfield - Inbound                                                                      |
| Piedmont CA PD                   | 08: Warfield @ Boulevard - Inbound                                                                      |
| Piedmont CA PD                   | 09: Winsor - Inbound                                                                                    |
| Piedmont CA PD                   | 10: Harvard @ Ranleigh - Inbound                                                                        |
| Piedmont CA PD                   | 11: Portsmouth @ Annerley - Inbound                                                                     |
| Piedmont CA PD                   | 12: Annerley @ Portsmouth - Inbound                                                                     |
| Piedmont CA PD                   | 13: Harvard @ Oakmont - Inbound                                                                         |
| Piedmont CA PD                   | 14 (Adtl at #2): Grand @ Wildwood - Outbound                                                            |
| Piedmont CA PD                   | 15: Portal @ Florada - Inbound                                                                          |
| Piedmont CA PD                   | 16: Crocker @ Ashmount - Inbound                                                                        |
| Piedmont CA PD                   | 17: Ashmount @ Clarenton - Inbound                                                                      |
| Piedmont CA PD                   | 18: Sunnyhills - Inbound                                                                                |
| Piedmont CA PD                   | 19: Trestle Glen @ Valant - Inbound                                                                     |
| Piedmont CA PD                   | 20: Trestle Glen Rd @ Park Blvd - Inbound                                                               |
| Piedmont CA PD                   | 21: St James @ Park - Inbound                                                                           |
| Piedmont CA PD                   | 22: Estates @ Park - Inbound                                                                            |
| Piedmont CA PD                   | 23: Estates @ Somerset - Inbound                                                                        |
| Piedmont CA PD                   | 24: Somerset @ Estates - Inbound                                                                        |
| Piedmont CA PD                   | 25: La Salle @ Tyson Cir - Inbound                                                                      |
| Piedmont CA PD                   | 26: Moraga @ Maxwelton - Inbound                                                                        |
| Piedmont CA PD                   | 27: Moraga @ Maxwelton - Outbound                                                                       |
| Piedmont CA PD                   | 28: Maxwelton @ ECL - Inbound                                                                           |
| Piedmont CA PD                   | 29: Moraga @ Ramona - Inbound                                                                           |
| Piedmont CA PD                   | 30: Ronada @ Parkside - Inbound                                                                         |
| Piedmont CA PD                   | 31: Grand @ Rose - Inbound                                                                              |
| Piedmont CA PD                   | 32: Rose @ Echo - Inbound                                                                               |
| Piedmont CA PD                   | 33 (Adt at #19): Valant Pl NB @ Trestle Glen Rd                                                         |
| Piedmont CA PD                   | 34 (Adtl at #22): Estates @ Park Outbound                                                               |
| Pleasanton CA PD                 | #01 Canyon Wy @ Stoneridge Mall Rd - WB                                                                 |
| Pleasanton CA PD                 | #02 Stoneridge Mall Rd @ Canyon Wy - SB                                                                 |
| Pleasanton CA PD                 | #03 Stoneridge Mall Rd @ Canyon Wy- NB                                                                  |
| Pleasanton CA PD                 | #04 Happy Valley Rd/ Callippe EB                                                                        |
| Salinas CA PD                    | #02 Acosta Plaza SB @ Garner                                                                            |
| Salinas CA PD                    | 01: Acosta Plaze NB @ N Sanborn                                                                         |
| Salinas CA PD                    | 03: Rider Ave SB @ Las Casitas Dr                                                                       |
| Salinas CA PD                    | 04: Monterey St NB towards East Market St                                                               |
| Salinas CA PD                    | 05: Towt St NB @ Garner                                                                                 |
| Salinas CA PD                    | 06: Del Monte Ave WB @ Towt St                                                                          |
| Salinas CA PD                    | 07: Rider Ave NB @ Del Monte Ave                                                                        |
| Salinas CA PD                    | 08: E Market St EB @ Kern St                                                                            |
| Salinas CA PD                    | 09: E. Alisal EB @ Kings                                                                                |
| Salinas CA PD                    | 10: E Market St EB @ Poplar St                                                                          |
| Salinas CA PD                    | 11: Market Way WB @ E Market St                                                                         |
| Salinas CA PD                    | 12: S Sanborn Rd NB @ Mayfair Dr                                                                        |
| Salinas CA PD                    | 13: N Sanborn Rd NB @ Circle Dr                                                                         |
| Salinas CA PD                    | 14: E Market St WB @ Sanborn Rd                                                                         |
| Salinas CA PD                    | 15: Sanborn Rd SB @ Parkway Rd                                                                          |
| Salinas CA PD                    | 16: E Alisal St WB @ Sanborn Rd                                                                         |
| Salinas CA PD                    | 17: Towt St NB @ Del Monte Ave                                                                          |
| Salinas CA PD                    | 18: E Lake St SB @ E Rossi St                                                                           |
| Salinas CA PD                    | 20: Garner Ave WB @ Towt St                                                                             |
| San Bruno CA PD                  | 01: N/B ECR at Noor Av (#1 & #2 Lanes)                                                                  |
| San Bruno CA PD                  | 02: N/B ECR at Noor Av (#2 & #3 Lanes)                                                                  |
| San Bruno CA PD                  | 03: S/B ECR prior to I380 (#1 & #2 Lanes)                                                               |
| San Bruno CA PD                  | 04: S/B ECR prior to I380 (#3 & #4 Lanes)                                                               |
| San Bruno CA PD                  | 05: N/B ECR prior to I380 (#3 & E/B I380 ramp)                                                          |
| San Bruno CA PD                  | 06: N/B ECR prior to I380 (#1 & #2 Lanes)                                                               |
| San Bruno CA PD                  | 07: W/B San Bruno Av prior to 6th Av                                                                    |
| San Bruno CA PD                  | 08: E/B San Bruno Av at 7th Av                                                                          |
| San Bruno CA PD                  | 09: N/B Cherry Av at San Bruno Av                                                                       |
| San Bruno CA PD                  | 10: S/B Cherry Av at Sneath Ln                                                                          |
| San Bruno CA PD                  | 11: E/B Sneath Ln - east of Cherry Av                                                                   |
| San Bruno CA PD                  | 12: W/B Sneath Ln east of I280 (GGNC Main Entrance)                                                     |
| San Bruno CA PD                  | 13: Rollingwood Dr at Sneath Ln (rear plate is northbound Rollingwood)                                  |
| San Bruno CA PD                  | 14: E/B & W/B Sneath at Quail Point Ln (Rear plate is W/B)                                              |
| San Bruno CA PD                  | 17: W/B San Bruno Ave west of Cherry Ave                                                                |
| San Bruno CA PD                  | 18: E/B San Bruno Ave prior to Cherry Av                                                                |
| San Bruno CA PD                  | 19: W/B San Bruno Ave prior to lower Crestmoor Dr                                                       |
| San Bruno CA PD                  | 20: E/B San Bruno Ave east of SR35                                                                      |
| San Bruno CA PD                  | Trailer Camera 01                                                                                       |
| San Bruno CA PD                  | Trailer Camera 02                                                                                       |
| San Joaquin County CA SO         | 01 NB Mackville Rd @ E Jahant Rd                                                                        |
| San Joaquin County CA SO         | 02 WB Route 4 @ Escalon-Bellota Rd                                                                      |
| San Joaquin County CA SO         | 03 EB Section at Oro Ave                                                                                |
| San Joaquin County CA SO         | 04 WB Section at Oro Ave                                                                                |
| San Joaquin County CA SO         | 05 NB 99 Frontage at Morada                                                                             |
| San Joaquin County CA SO         | 06 SB 99 Frontage Rd at Morada                                                                          |
| San Joaquin County CA SO         | 07 SB Ryde Ave at Alpine                                                                                |
| San Joaquin County CA SO         | 08 Wb Cherokee at Teepee Dr                                                                             |
| San Joaquin County CA SO         | 09 EB Country Club Blvd at Mission                                                                      |
| San Joaquin County CA SO         | 10 EB Downing at Mourfield Ave                                                                          |
| San Joaquin County CA SO         | 11 EB French Camp Rd At S Airport                                                                       |
| San Joaquin County CA SO         | 12 NB Lower Sacramento at Indiana                                                                       |
| San Joaquin County CA SO         | 13 SB Lower Sacramento Rd at Collier                                                                    |
| San Joaquin County CA SO         | 14 EB E Main St at Oro                                                                                  |
| San Joaquin County CA SO         | 15 SB S Tracy at Howard                                                                                 |
| San Joaquin County CA SO         | 16 EB Route 4 @ Escalon-Bellota Rd                                                                      |
| San Joaquin County CA SO         | 17 EB W Walnut Grove at Thornton                                                                        |
| San Joaquin County CA SO         | 18 WB Waterloo at Broadway                                                                              |
| San Joaquin County CA SO         | 19 WB E McAllen at N. Wilson Way                                                                        |
| San Joaquin County CA SO         | 20 NB Woodbridgge at Mokelumne                                                                          |
| San Joaquin County CA SO         | 21 NB N Filbert at Waterloo                                                                             |
| San Joaquin County CA SO         | 22 EB W Benjamin Holt at Gettysburg                                                                     |
| San Joaquin County CA SO         | 23 SB Michael Canlis at Harty                                                                           |
| San Joaquin County CA SO         | 24 NB Michael Canlis at Harty                                                                           |
| San Joaquin County CA SO         | 25 NB Fresno at Scotts                                                                                  |
| San Mateo CA PD                  | 01 - W/B Peninsula @ Bayshore Bl (Towards Woodlake Shopping Ctr) (front plate read - E/B traffic)       |
| San Mateo CA PD                  | 02 - E/B Peninsula @ Bayshore Av (towards N/B Hwy 101 & Coyote Pt)                                      |
| San Mateo CA PD                  | 03 - W/B Poplar @ Amphlett Bl (S/B Hwy 101 OFF-Ramp)                                                    |
| San Mateo CA PD                  | 04 - E/B Poplar @ Amphlett Bl (S/B Hwy 101 ON-Ramp)                                                     |
| San Mateo CA PD                  | 05 - E/B 4th Av @ Humboldt St (Lanes 1 & 2) (Leaving Downtown San Mateo)                                |
| San Mateo CA PD                  | 06 - W/B 3rd Av @ Humboldt St (S/B Hwy 101 OFF-ramp)                                                    |
| San Mateo CA PD                  | 07 - W/B 3rd Av @ Humboldt St (Hwy 101 Overpass)                                                        |
| San Mateo CA PD                  | 08 - W/B Hillsdale @ Saratoga Av (towards Hillsdale Mall)                                               |
| San Mateo CA PD                  | 09 - E/B Hillsdale @ Saratoga Av (towards Hwy 101) (Leaving Franklin Templeton/Roblox HQ) (Lanes 2 & 3) |
| San Mateo CA PD                  | 10 - S/B Norfolk @ Fashion Island Bl  (Parkside Shopping Ctr/Tile HQ)                                   |
| San Mateo CA PD                  | 11 - N/B Norfolk @ Hillsdale (LT turn lanes) (Leaving Marina Plaza - Los Prados)                        |
| San Mateo CA PD                  | 12 - N/B Norfolk @ 3rd Av (Leaving Shoreview Shopping Ctr Area)                                         |
| San Mateo CA PD                  | 13 - S/B Norfolk @ 3rd Av (Leaving North Shoreview)                                                     |
| San Mateo CA PD                  | 14 - S/B Lindburgh @ 3rd Av (towards Hwy 101)                                                           |
| San Mateo CA PD                  | 15 - W/B Kehoe @ Dix St (Towards N/B 101 ON-ramp) (front plate read - E/B traffic)                      |
| San Mateo CA PD                  | 16 - N/B El Camino @ Hwy 92 (Lanes 2 & 3)                                                               |
| San Mateo CA PD                  | 17 - S/B El Camino @ Hwy 92 (Lanes 2 & 3) (IFO Borel Square Shopping Ctr)                               |
| San Mateo CA PD                  | 18 - W/B Concar @ Delaware St (towards W/B Hwy 92) (front plate read - E/B traffic)                     |
| San Mateo CA PD                  | 19 - E/B Hwy 92 ON-Ramp @ Delaware St                                                                   |
| San Mateo CA PD                  | 20 - E/B 28th Av @ Monterey St (Radar Trailer #51)                                                      |
| San Mateo CA PD                  | 21 - N/B Edinburgh @ Avila Rd (Radar Trailer #55)                                                       |
| San Mateo CA PD                  | 22 - S/B Norfolk @ La Selva St (CMB Trailer #50)                                                        |
| San Mateo CA PD                  | 23 - E/B Fashion Is. @ Bridgepointe Cir (towards Bridgepointe Shopping Ctr/SONY PlayStation HQ)         |
| San Mateo CA PD                  | 24 - W/B Fashion Is. @ Bridgepointe Cir (Leaving Bridgepointe Shopping Ctr)                             |
| San Mateo CA PD                  | 25 - N/B Mariners Is. @ Winward Wy (E/B Hwy 92 OFF-ramp)                                                |
| San Mateo CA PD                  | 26 - E/B 4th Av to S/B Hwy 101 ON-ramp (Leaving Downtown San Mateo)                                     |
| San Mateo CA PD                  | 27 - N/B Alameda @  Hwy 92 (towards Hwy 92 ON-ramps)                                                    |
| San Mateo CA PD                  | 28 - S/B Alameda @ Hwy 92 (towards Hwy 92 ON-ramps)                                                     |
| San Mateo CA PD                  | 29 - W/B 3rd Av @ Seal Point Park (Towards Norfolk St) (CMB Trailer #53)                                |
| San Mateo CA PD                  | 30 -  Out of Service (Radar Trailer #56)                                                                |
| San Mateo CA PD                  | 31 - N/B El Camino @ 5th Ave (IFO Central Park) (Radar Trailer #54)                                     |
| San Mateo County CA SO           | #05 - Trailer 05 Montara State Beach                                                                    |
| San Mateo County CA SO           | #06 Trailer aka T10 @MLB SUB                                                                            |
| San Mateo County CA SO           | #07 Trailer aka T20 @ Alpine and Ladera                                                                 |
| San Mateo County CA SO           | 08: Middlefield Rd EB @ Fifth Ave                                                                       |
| San Mateo County CA SO           | 09: Fifth Ave EB @ Middlefield                                                                          |
| San Mateo County CA SO           | 10: Middlefield NB @ Fifth                                                                              |
| San Mateo County CA SO           | 11: Fifth Ave SB @ Middlefield Rd                                                                       |
| San Mateo County CA SO           | VTTF Trailer 1 Camera 1 - Schwerin St, DCY                                                              |
| San Mateo County CA SO           | VTTF Trailer 1 Camera 2 - Schwerin St, DCY                                                              |
| San Mateo County CA SO           | VTTF Trailer 2 Camera 3  -  REI Brittan/Industrial, San Carlos                                          |
| San Mateo County CA SO           | VTTF Trailer 2 Camera 4  -  REI Brittan/Industrial, San Carlos                                          |
| San Mateo County CA SO           | relocation for 11                                                                                       |
| San Ramon CA PD                  | #46 Wing Live - Albion Arts Center                                                                      |
| San Ramon CA PD                  | 01 - Market Pl (SB) @ Bollinger Canyon Rd                                                               |
| San Ramon CA PD                  | 02 - Alcosta (SB) @ Bollinger Canyon Rd                                                                 |
| San Ramon CA PD                  | 03 - Alcosta (NB) @ Canyon Woods                                                                        |
| San Ramon CA PD                  | 04 - Park & Ride (SB) @ Bollinger                                                                       |
| San Ramon CA PD                  | 05 - entering Bollinger Crossing (Chevron) from SRVB                                                    |
| San Ramon CA PD                  | 06 - SBRB-SB @ Barnwood                                                                                 |
| San Ramon CA PD                  | 07 - Westside Dr (WB) @ SRVB                                                                            |
| San Ramon CA PD                  | 08 - SRVB (SB) @ Gateway Center                                                                         |
| San Ramon CA PD                  | 09 - 680 Alcosta Off Ramp @ (WB) into Gateway Centre                                                    |
| San Ramon CA PD                  | 10 - Village Pkwy - NB                                                                                  |
| San Ramon CA PD                  | 11 - Stagecoach (NB) @ City Limits                                                                      |
| San Ramon CA PD                  | 12 - Shops @ BR off Bishop Dr (Target)                                                                  |
| San Ramon CA PD                  | 13 - Shops @ BR off Sunset                                                                              |
| San Ramon CA PD                  | 14 - Alcosta SB From Crow Canyon                                                                        |
| San Ramon CA PD                  | 15 - City Center-Sunset Entry                                                                           |
| San Ramon CA PD                  | 16 - Dougherty Rd NB @ Bollinger Canyon                                                                 |
| San Ramon CA PD                  | 17 - Bollinger Canyon WB @ Gale Ranch                                                                   |
| San Ramon CA PD                  | 18 - N Wedgwood (SB) @ Gale Ranch                                                                       |
| San Ramon CA PD                  | 19 - Crow Canyon Pl SB @ Crow Canyon Rd                                                                 |
| San Ramon CA PD                  | 20 - Camino Ramon SB @ Crow Canyon                                                                      |
| San Ramon CA PD                  | 21 - Camino Ramon NB @ Bollinger Canyon                                                                 |
| San Ramon CA PD                  | 22 - Crow Canyon Pl NB @ Crow Canyon Rd                                                                 |
| San Ramon CA PD                  | 23 - Crow Canyon Pl SB @ Fostoria Way                                                                   |
| San Ramon CA PD                  | 24 - Camino Ramon NB @ Crow Canyon                                                                      |
| San Ramon CA PD                  | 25 - SRVB SB @ Crow Canyon Rd                                                                           |
| San Ramon CA PD                  | 26 - Crow Canyon Rd EB @ City Limits                                                                    |
| San Ramon CA PD                  | 27 - SRVB SB @ City Limits                                                                              |
| San Ramon CA PD                  | 28 - Norris Canyon Rd EB @ City Limits                                                                  |
| San Ramon CA PD                  | 29 - E Branch Pkwy EB @ Bollinger Canyon                                                                |
| San Ramon CA PD                  | 30 - Windemere Pkwy EB @ Bollinger Canyon                                                               |
| San Ramon CA PD                  | 31 - Albion Rd EB @ Bollinger Canyon                                                                    |
| San Ramon CA PD                  | 32 - SRVB NB @ Bollinger Canyon                                                                         |
| San Ramon CA PD                  | 33 - Alcosta (NB) @ Bollinger Canyon RD                                                                 |
| San Ramon CA PD                  | 34 - Crow Canyon Rd WB @ SRVB                                                                           |
| San Ramon CA PD                  | 35 - Bollinger WB @ SRVB                                                                                |
| San Ramon CA PD                  | 36: WB Windemere Parkway @ Camino Tassajara                                                             |
| San Ramon CA PD                  | 37: NB Dougherty Rd @ City Limits (near Austin Creek)                                                   |
| San Ramon CA PD                  | 38: NB Dougherty Rd @ City Limits (near Austin Creek)                                                   |
| San Ramon CA PD                  | 39: EB Alcosta between 680/Davona                                                                       |
| San Ramon CA PD                  | 40: NB SRVB @ Alcosta 680 exit                                                                          |
| San Ramon CA PD                  | 41: W/B Crow Canyon Rd @ City Limits from Blackhawk                                                     |
| San Ramon CA PD                  | 42: N/B SRVB @ Crow Canyon Rd                                                                           |
| San Ramon CA PD                  | 43: EB Crow Canyon @ Alcosta                                                                            |
| San Ramon CA PD                  | 44: E/B Bollinger @ Alcosta                                                                             |
| San Ramon CA PD                  | 45: N/B Bollinger Canyon Rd. @ Deerwood                                                                 |
| Santa Clara CA PD                | 01: NB Saratoga Avenue @ San Tomas Expressway                                                           |
| Santa Clara CA PD                | 02: WB Mission College @ Mercado                                                                        |
| Santa Clara CA PD                | 03: SB Lafayette St @ Martin.                                                                           |
| Santa Clara CA PD                | 04: EB Monroe St @ Los Padres Blvd                                                                      |
| Santa Clara CA PD                | 05: WB Monroe St @ Los Padres Blvd                                                                      |
| Santa Clara CA PD                | 06:  NB Scott Blvd @ Monroe                                                                             |
| Santa Clara CA PD                | 07: SB Scott Blvd @Monroe                                                                               |
| Santa Clara CA PD                | 08: SB Monroe @ El Camino                                                                               |
| Santa Clara CA PD                | 09: NB Winchester Blvd @ Stevens Creek                                                                  |
| Santa Clara CA PD                | 10: NB Kiely Boulevard @ Stevens Creek Boulevard                                                        |
| Santa Clara CA PD                | 11: EB Monroe St @ Lawrence Expy                                                                        |
| Santa Clara CA PD                | 12: NB Lafayette @ Comstock                                                                             |
| Santa Clara CA PD                | 13: EB El Camino Real @ San Tomas Expy                                                                  |
| Santa Clara CA PD                | 14: WB The Alameda @ Portola                                                                            |
| Santa Clara CA PD                | 15: EB Homestead Rd @ Lawrence Expy                                                                     |
| Seal Beach CA PD                 | College Park West                                                                                       |
| The Presidio Trust CA PD         | #03 15th Ave @ Wedemeyer St - SB                                                                        |
| The Presidio Trust CA PD         | #08 Presidio Blvd @ Pacific Ave - SB                                                                    |
| The Presidio Trust CA PD         | #09 Lombard St @ Ruger St - WB                                                                          |
| The Presidio Trust CA PD         | #14 Girard Rd @ 101 - NB                                                                                |
| Tracy CA PD                      | #01 Grant Line Rd @ Byron Rd - WB                                                                       |
| Tracy CA PD                      | #02 Grant Line Rd @  Naglee Rd - EB                                                                     |
| Tracy CA PD                      | #03 Naglee Rd @ Grant Line Rd - SB                                                                      |
| Tracy CA PD                      | #04 Naglee Rd @ Grant Line Rd - NB                                                                      |
| Tracy CA PD                      | #05 Pavilion Pkwy @ Naglee Rd - SB                                                                      |
| Tracy CA PD                      | #06 Naglee Rd @ Pavilion Pkwy - SB                                                                      |
| Tracy CA PD                      | #07 Byron Rd @ S Lammers Rd - WB                                                                        |
| Tracy CA PD                      | #08 Byron Rd @ Lankershire Dr - EB                                                                      |
| Tracy CA PD                      | #09 Eleventh St @ S Lammers Rd - WB                                                                     |
| Tracy CA PD                      | #10 Eleventh St @ S Lammers Rd - EB                                                                     |
| Tracy CA PD                      | #11 S Lammers Rd @ Fabian Rd - NB                                                                       |
| Tracy CA PD                      | #12 S Lammers Rd @ Eleventh St - SB                                                                     |
| Tracy CA PD                      | #13 Valpico Rd @ Corral Hollow Rd - EB                                                                  |
| Tracy CA PD                      | #14 Corral Hollow Rd @ W Linne Rd - NB                                                                  |
| Tracy CA PD                      | #15 W Linne Rd @ Corral Hollow Rd - EB                                                                  |
| Tracy CA PD                      | #16 Corral Hollow Rd @ Tracy Hills Dr - NB                                                              |
| Tracy CA PD                      | #17 Tracy Blvd @ W Linne Rd - NB                                                                        |
| Tracy CA PD                      | #18 S MacArthur Dr @ Vine Ln - NB                                                                       |
| Tracy CA PD                      | #19 Valpico Rd @ S Chrisman Rd - WB                                                                     |
| Tracy CA PD                      | #20 S Chrisman @ Valpico Rd - NB                                                                        |
| Tracy CA PD                      | #21 Coral Hollow Rd @ Grant Line Rd - NB                                                                |
| Tracy CA PD                      | #22 Grant Line Rd @ Coral Hollow Rd - EB                                                                |
| Tracy CA PD                      | #23 Grant Line Rd (Turn & #1 Lane ) @ 205 On Ramp - EB                                                  |
| Tracy CA PD                      | #24 Grant Line Rd (Lanes 3, On Ramp) @ Joe Pombo - WB                                                   |
| Tracy CA PD                      | #25 Corral Hollow Rd @ W Kavanagh Ave - SB                                                              |
| Tracy CA PD                      | #26 N MacArthur Dr @ Eleventh St - NB                                                                   |
| Tracy CA PD                      | #27 Grant Line Rd @ Corral Hollow Rd - WB                                                               |
| Tracy CA PD                      | #28 Corral Hollow Rd (Lanes 1, 2) @ Grant Line Rd - SB                                                  |
| Tracy CA PD                      | #29 Corral Hollow Rd (Lanes 2, 3) @ Grant Line Rd - SB                                                  |
| Tracy CA PD                      | #30 N Tracy Blvd @ W Clover Rd - NB                                                                     |
| Tracy CA PD                      | #31 N Tracy Blvd @ W Clover Rd - SB - Relocation                                                        |
| Tracy CA PD                      | #32 N MacArthur Dr @ 205 Off Ramp - SB                                                                  |
| Tracy CA PD                      | #33 N MacArthur Dr @  E Pescadero Ave - NB                                                              |
| Tracy CA PD                      | #34 Grant Line Rd (Lanes 2, 3)@ N Chrisman Rd - EB                                                      |
| Tracy CA PD                      | #35 Grant Line Rd (Lanes 1, 2) @ N Chrisman Rd - EB                                                     |
| Tracy CA PD                      | #36 Grant Line Rd (Lanes 2, 3)@ N Chrisman Rd - WB                                                      |
| Tracy CA PD                      | #37 Grant Line Rd (Lanes 1, 2) @ N Chrisman Rd - WB                                                     |
| Tracy CA PD                      | #38 N Tracy Blvd @ Eleventh St - NB                                                                     |
| Tracy CA PD                      | #39 Eleventh St @ N Tracy Blvd - EB                                                                     |
| Tracy CA PD                      | #40 S Tracy Blvd @ Eleventh St - SB                                                                     |
| Tracy CA PD                      | #41 Eleventh St @ N Tracy Blvd - WB                                                                     |
| Tracy CA PD                      | #42 W Schulte Rd @ S MacArthur Dr - WB                                                                  |
| Tracy CA PD                      | #43 W Schulte Rd @ S MacArthur Dr - EB                                                                  |
| Tracy CA PD                      | #44 Grant Line Rd @ S Lammers Rd - EB                                                                   |
| Tracy CA PD                      | #45 Eleventh St Bridge - EB                                                                             |
| Tracy CA PD                      | #46 Naglee Rd @ 205 Off Ramp - NB                                                                       |
| Vacaville CA PD                  |  Davis NB at Hume (toward Overcrosing) (Stream)                                                         |
| Vacaville CA PD                  | #01 - Leisure Town Rd @ Alamo Rd - NB                                                                   |
| Vacaville CA PD                  | #01 Peabody Rd NB to Southwood Dr                                                                       |
| Vacaville CA PD                  | #02 Peabody Rd SB to Southwood Dr                                                                       |
| Vacaville CA PD                  | #03 Alamo Dr WB from Peabody Rd                                                                         |
| Vacaville CA PD                  | #04 Alamo Dr EB from Peabody Rd                                                                         |
| Vacaville CA PD                  | #05 Alamo Dr EB to Peabody Rd                                                                           |
| Vacaville CA PD                  | #06 Alamo Dr WB from Tulare                                                                             |
| Vacaville CA PD                  | #07 Alamo Dr EB to Farmington Dr                                                                        |
| Vacaville CA PD                  | #08 Alamo Dr WB from Needham Dr                                                                         |
| Vacaville CA PD                  | #09 Nut Tree Rd SB from Alamo Dr                                                                        |
| Vacaville CA PD                  | #10 Nut Tree Rd NB from Alamo Dr                                                                        |
| Vacaville CA PD                  | #11 Nut Tree Rd SB to Fairview Dr                                                                       |
| Vacaville CA PD                  | #12 Alamo Dr EB to Bedford Way                                                                          |
| Vacaville CA PD                  | #13 Elmira Rd @ Leisure Town Rd - WB                                                                    |
| Vacaville CA PD                  | #14 Elmira Rd EB from Leisure Town Rd                                                                   |
| Vacaville CA PD                  | #15 Leisure Town Rd SB from Elmira Rd                                                                   |
| Vacaville CA PD                  | #16 Leisure Town Rd NB from Elmira Rd                                                                   |
| Vacaville CA PD                  | #17 Leisure Town Rd SB from Orange Dr                                                                   |
| Vacaville CA PD                  | #18 Leisure Town Rd NB to Orange                                                                        |
| Vacaville CA PD                  | #19 Orange Dr WB from Leisure Town Rd                                                                   |
| Vacaville CA PD                  | #20 Vaca Valley Pkwy NB from Crescent Dr                                                                |
| Vacaville CA PD                  | #21 Leisure Town Rd (1,2) SB to Orange Dr                                                               |
| Vacaville CA PD                  | #22 Leisure Town Rd (2,3) NB @ 80 - EB                                                                  |
| Vacaville CA PD                  | #23 Leisure Town Rd (2,3) SB @ 80 WB                                                                    |
| Vacaville CA PD                  | #24 Crescent Dr @ Vaca Valley Pkwy - NB                                                                 |
| Vacaville CA PD                  | #25 Vaca Valley Pkwy @ New Horizons Wy - EB                                                             |
| Vacaville CA PD                  | #26 Vaca Valley Pkwy NB to 505 NB                                                                       |
| Vacaville CA PD                  | #27 Vaca Valley Pkwy NB from 505 BB                                                                     |
| Vacaville CA PD                  | #28 Vaca Valley Pkwy SB to 505 SB                                                                       |
| Vacaville CA PD                  | #29 E Monte Vista Ave @ Vaca Valley Pkwy - SB                                                           |
| Vacaville CA PD                  | #30 Vaca Valley Pkwy SB to E Monte Vista Ave                                                            |
| Vacaville CA PD                  | #31 Vaca Valley Pkwy NB to Eubanks                                                                      |
| Vacaville CA PD                  | #32 Browns Valley Rd SB to Tipperary Dr                                                                 |
| Vacaville CA PD                  | #33 Browns Valley Rd NB to Vaca Valley Pkwy                                                             |
| Vacaville CA PD                  | #34 Brown St SB from Browns Valley Pkwy                                                                 |
| Vacaville CA PD                  | #35 Browns Valley Pkwy SB from Brown St                                                                 |
| Vacaville CA PD                  | #36 Browns Valley Pkwy NB from Brown St                                                                 |
| Vacaville CA PD                  | #37 N Orchard Ave SB from Granada Ln                                                                    |
| Vacaville CA PD                  | #38 N Orchard Ave NB from Crestview Dr                                                                  |
| Vacaville CA PD                  | #39 Dobbins St NB to Fruitvale Rd                                                                       |
| Vacaville CA PD                  | #40 Gibson Canyon Rd SB to Fruitvale Rd                                                                 |
| Vacaville CA PD                  | #41 Markham Ave NB from E Monte Vista Ave                                                               |
| Vacaville CA PD                  | #42 E Monte Vista Ave WB from Markham Ave                                                               |
| Vacaville CA PD                  | #43 E Monte Vista Ave @ Markham Ave - EB                                                                |
| Vacaville CA PD                  | #44 Alamo Dr NB from Merchant St                                                                        |
| Vacaville CA PD                  | #45 Elmira Rd EB from Peabody Rd                                                                        |
| Vacaville CA PD                  | #46 Elmira Rd WB from Allison Dr                                                                        |
| Vacaville CA PD                  | #47 Allison Dr NB from Elmira Rd                                                                        |
| Vacaville CA PD                  | #48 E Monte Vista Ave WB from Allison Dr                                                                |
| Vacaville CA PD                  | #49 Nut Tree Rd SB to Burton Dr                                                                         |
| Vacaville CA PD                  | #50 Nut Tree Rd NB from Portsmouth Ave                                                                  |
| Vacaville CA PD                  | #51 Elmira Rd WB from Nut Tree Rd                                                                       |
| Vacaville CA PD                  | #52 Nut Tree Rd SB from Elmira Rd                                                                       |
| Vacaville CA PD                  | #53 Elmira Rd EB from Nut Tree Rd                                                                       |
